movieid,title,cluster_no,rating
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",5,4.12
201,Three Wishes,0,3.0
202,Total Eclipse,5,3.0
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1,3.43
204,Under Siege 2: Dark Territory,14,2.72
205,Unstrung Heroes,7,3.17
206,Unzipped,3,3.0
207,"Walk in the Clouds, A",5,3.43
208,Waterworld,18,2.91
209,White Man's Burden,0,3.17
210,Wild Bill,3,3.0
211,"Browning Version, The",0,3.5
34482,"Browning Version, The",0,3.5
212,Bushwhacked,20,3.0
213,Burnt by the Sun (Utomlyonnye solntsem),0,3.83
214,Before the Rain (Pred dozhdot),0,4.0
215,Before Sunrise,5,4.04
216,Billy Madison,1,3.33
217,"Babysitter, The",13,2.33
218,Boys on the Side,7,3.43
219,"Cure, The",0,3.0
220,Castle Freak,17,3.0
222,Circle of Friends,5,3.75
223,Clerks,1,3.86
224,Don Juan DeMarco,10,3.61
225,Disclosure,13,3.54
227,Drop Zone,12,2.86
228,Destiny Turns on the Radio,1,2.33
229,Death and the Maiden,13,3.43
230,Dolores Claiborne,13,3.4
231,Dumb & Dumber (Dumb and Dumber),1,3.06
232,Eat Drink Man Woman (Yin shi nan nu),10,3.89
233,Exotica,0,3.5
234,Exit to Eden,1,2.59
235,Ed Wood,7,3.68
236,French Kiss,21,3.48
237,Forget Paris,21,3.34
238,Far From Home: The Adventures of Yellow Dog,11,4.0
239,"Goofy Movie, A",2,3.0
240,Hideaway,4,2.38
241,Fluke,0,4.0
242,Farinelli: il castrato,0,3.6
243,Gordy,2,3.0
246,Hoop Dreams,3,4.29
247,Heavenly Creatures,16,3.93
248,Houseguest,1,3.18
249,Immortal Beloved,5,3.72
250,Heavyweights (Heavy Weights),1,2.5
251,"Hunted, The",14,3.0
6219,"Hunted, The",14,3.0
252,I.Q.,21,3.45
253,Interview with the Vampire: The Vampire Chronicles,0,3.46
254,Jefferson in Paris,0,3.0
255,"Jerky Boys, The",1,2.07
256,Junior,9,2.83
257,Just Cause,4,3.5
258,"Kid in King Arthur's Court, A",11,2.6
259,Kiss of Death,16,3.2
260,Star Wars: Episode IV - A New Hope,18,4.23
261,Little Women,0,3.88
4921,Little Women,5,3.88
7054,Little Women,0,3.88
262,"Little Princess, A",0,3.9
263,Ladybird Ladybird,0,4.0
265,Like Water for Chocolate (Como agua para chocolate),5,3.94
266,Legends of the Fall,5,3.4
267,Major Payne,1,2.94
269,My Crazy Life (Mi vida loca),0,3.0
270,Love Affair,5,3.33
6837,Love Affair,10,3.33
271,Losing Isaiah,0,3.5
272,"Madness of King George, The",7,3.76
273,Mary Shelley's Frankenstein (Frankenstein),17,2.95
274,Man of the House,1,2.94
31867,Man of the House,1,2.94
275,Mixed Nuts,1,2.0
276,Milk Money,21,3.25
277,Miracle on 34th Street,0,3.48
2398,Miracle on 34th Street,7,3.48
278,Miami Rhapsody,1,1.5
279,My Family,0,3.0
280,Murder in the First,13,4.08
281,Nobody's Fool,10,3.79
282,Nell,0,3.34
283,New Jersey Drive,16,3.67
284,New York Cop (Nyû Yôku no koppu),19,4.5
285,Beyond Bedlam,0,4.0
287,Nina Takes a Lover,21,3.0
288,Natural Born Killers,8,3.23
289,Only You,21,3.56
290,Once Were Warriors,16,4.04
291,Poison Ivy II,13,2.33
292,Outbreak,12,3.43
293,Léon: The Professional (a.k.a. The Professional) (Léon),8,4.02
294,"Perez Family, The",21,3.0
295,"Pyromaniac's Love Story, A",21,3.0
296,Pulp Fiction,16,4.2
298,Pushing Hands (Tui shou),0,2.0
299,Priest,0,3.57
86835,Priest,12,3.57
300,Quiz Show,0,3.52
301,Picture Bride (Bijo photo),5,4.0
302,"Queen Margot (Reine Margot, La)",5,3.2
303,"Quick and the Dead, The",12,2.95
304,Roommates,7,3.67
305,Ready to Wear (Pret-A-Porter),1,2.83
306,Three Colors: Red (Trois couleurs: Rouge),0,4.22
307,Three Colors: Blue (Trois couleurs: Bleu),0,3.9
308,Three Colors: White (Trzy kolory: Bialy),7,4.03
310,Rent-a-Kid,1,3.0
311,Relative Fear,15,3.0
312,Stuart Saves His Family,1,1.44
313,"Swan Princess, The",2,3.33
314,"Secret of Roan Inish, The",0,3.75
315,"Specialist, The",14,3.08
316,Stargate,18,3.38
317,"Santa Clause, The",7,3.2
318,"Shawshank Redemption, The",16,4.43
319,Shallow Grave,7,3.6
320,Suture,4,3.0
321,Strawberry and Chocolate (Fresa y chocolate),0,4.0
322,Swimming with Sharks,7,3.55
324,"Sum of Us, The",7,4.0
325,National Lampoon's Senior Trip,1,2.5
326,To Live (Huozhe),0,4.0
327,Tank Girl,18,2.82
328,Tales from the Crypt Presents: Demon Knight,15,3.15
329,Star Trek: Generations,9,3.39
330,Tales from the Hood,19,3.0
331,Tom & Viv,0,3.0
332,Village of the Damned,17,2.92
2553,Village of the Damned,15,2.92
333,Tommy Boy,1,3.78
334,Vanya on 42nd Street,0,4.2
335,Underneath,4,3.5
336,"Walking Dead, The",0,3.0
337,What's Eating Gilbert Grape,0,3.77
338,Virtuosity,12,2.84
339,While You Were Sleeping,21,3.47
340,"War, The",0,3.4
341,Double Happiness,0,4.0
342,Muriel's Wedding,1,3.27
343,"Baby-Sitters Club, The",2,2.9
344,Ace Ventura: Pet Detective,1,3.04
345,"Adventures of Priscilla, Queen of the Desert, The",7,3.6
346,Backbeat,0,3.5
347,Bitter Moon,5,3.5
348,Bullets Over Broadway,1,3.58
349,Clear and Present Danger,8,3.6
350,"Client, The",13,3.39
351,"Corrina, Corrina",10,3.18
352,Crooklyn,7,2.5
353,"Crow, The",8,3.61
354,Cobb,0,3.33
355,"Flintstones, The",2,2.36
356,Forrest Gump,10,4.16
357,Four Weddings and a Funeral,21,3.52
358,Higher Learning,0,2.67
359,I Like It Like That,10,3.0
360,I Love Trouble,1,2.69
361,It Could Happen to You,10,3.06
362,"Jungle Book, The",11,3.71
2078,"Jungle Book, The",2,3.71
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",3,4.0
364,"Lion King, The",11,3.94
365,Little Buddha,0,3.25
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",13,2.92
367,"Mask, The",19,3.18
368,Maverick,1,3.5
369,Mrs. Parker and the Vicious Circle,0,4.0
370,Naked Gun 33 1/3: The Final Insult,1,3.06
371,"Paper, The",7,3.31
372,Reality Bites,10,2.76
373,Red Rock West,4,3.64
374,Richie Rich,1,2.2
376,"River Wild, The",12,3.25
377,Speed,12,3.53
378,Speechless,21,2.79
379,Timecop,12,2.5
380,True Lies,6,3.5
381,When a Man Loves a Woman,5,3.82
382,Wolf,13,3.16
383,Wyatt Earp,3,3.1
384,Bad Company,19,3.0
5414,Bad Company,19,3.0
385,"Man of No Importance, A",0,4.0
386,S.F.W.,0,3.0
387,"Low Down Dirty Shame, A",1,2.38
388,Boys Life,0,3.0
389,"Colonel Chabert, Le",5,4.5
390,Faster Pussycat! Kill! Kill!,19,3.7
391,Jason's Lyric,16,4.5
393,Street Fighter,6,2.5
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),14,2.42
406,Federal Hill,0,3.0
407,In the Mouth of Madness,15,3.44
408,8 Seconds,0,3.0
409,Above the Rim,16,2.0
410,Addams Family Values,2,3.1
412,"Age of Innocence, The",0,3.5
413,Airheads,1,2.79
414,"Air Up There, The",1,2.33
415,Another Stakeout,1,2.53
416,Bad Girls,3,2.5
417,Barcelona,21,3.69
418,Being Human,0,3.0
419,"Beverly Hillbillies, The",1,2.68
420,Beverly Hills Cop III,8,2.72
421,Black Beauty,0,3.21
422,Blink,4,3.2
423,Blown Away,12,2.85
424,Blue Chips,0,1.83
425,Blue Sky,5,3.75
426,Body Snatchers,15,3.14
427,Boxing Helena,13,2.54
428,"Bronx Tale, A",0,3.72
429,Cabin Boy,1,2.0
430,Calendar Girl,7,3.75
431,Carlito's Way,16,3.74
432,City Slickers II: The Legend of Curly's Gold,1,2.65
433,Clean Slate,1,2.75
434,Cliffhanger,6,3.03
435,Coneheads,9,2.42
436,Color of Night,13,2.57
437,Cops and Robbersons,1,2.17
438,"Cowboy Way, The",7,2.71
440,Dave,21,3.55
441,Dazed and Confused,1,3.93
442,Demolition Man,18,3.09
444,Even Cowgirls Get the Blues,21,2.33
445,Fatal Instinct,1,3.0
446,Farewell My Concubine (Ba wang bie ji),5,3.83
448,Fearless,0,3.62
449,Fear of a Black Hat,1,1.0
450,With Honors,7,3.0
451,Flesh and Bone,5,4.0
452,Widows' Peak,0,3.0
453,For Love or Money,21,2.8
454,"Firm, The",13,3.53
95624,"Firm, The",0,3.53
455,Free Willy,0,2.39
456,Fresh,16,3.75
457,"Fugitive, The",4,3.99
55854,"Fugitive, The",0,3.99
458,Geronimo: An American Legend,0,2.8
459,"Getaway, The",8,2.69
8016,"Getaway, The",8,2.69
460,Getting Even with Dad,1,2.67
461,Go Fish,5,2.75
464,Hard Target,8,2.9
466,Hot Shots! Part Deux,1,2.87
467,Live Nude Girls,1,5.0
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The",21,3.2
469,"House of the Spirits, The",5,3.4
470,House Party 3,1,1.0
471,"Hudsucker Proxy, The",1,3.55
472,I'll Do Anything,7,2.58
473,In the Army Now,1,1.86
474,In the Line of Fire,12,3.69
475,In the Name of the Father,0,4.3
476,"Inkwell, The",7,1.0
477,What's Love Got to Do with It?,0,3.38
478,Jimmy Hollywood,20,2.5
479,Judgment Night,8,2.25
480,Jurassic Park,12,3.75
481,Kalifornia,13,3.16
482,Killing Zoe,16,3.62
484,Lassie,11,3.0
485,Last Action Hero,6,2.93
486,Life with Mikey,1,3.0
487,Lightning Jack,1,2.5
488,M. Butterfly,5,3.0
489,Made in America,1,2.86
490,Malice,4,3.0
491,"Man Without a Face, The",0,3.29
492,Manhattan Murder Mystery,1,3.75
493,Menace II Society,19,3.67
494,Executive Decision,6,3.38
495,In the Realm of the Senses (Ai no corrida),0,5.0
496,What Happened Was...,10,5.0
497,Much Ado About Nothing,21,3.8
103027,Much Ado About Nothing,10,3.8
499,Mr. Wonderful,21,2.5
500,Mrs. Doubtfire,7,3.39
501,Naked,0,3.67
502,"Next Karate Kid, The",14,2.37
504,No Escape,14,3.0
505,North,1,2.21
506,Orlando,5,4.5
507,"Perfect World, A",16,3.38
508,Philadelphia,0,3.61
509,"Piano, The",5,3.54
510,Poetic Justice,0,3.0
511,"Program, The",14,3.0
512,"Puppet Masters, The",17,3.0
513,Radioland Murders,21,3.38
514,"Ref, The",1,3.42
515,"Remains of the Day, The",5,3.6
516,Renaissance Man,7,3.06
517,Rising Sun,14,3.28
518,"Road to Wellville, The",1,2.38
519,RoboCop 3,8,2.4
520,Robin Hood: Men in Tights,1,3.13
521,Romeo Is Bleeding,8,3.17
522,Romper Stomper,14,3.29
523,Ruby in Paradise,0,3.5
524,Rudy,0,3.49
526,"Savage Nights (Nuits fauves, Les)",0,4.0
527,Schindler's List,0,4.22
528,"Scout, The",7,2.33
529,Searching for Bobby Fischer,0,3.88
531,"Secret Garden, The",0,3.25
532,Serial Mom,20,3.0
533,"Shadow, The",6,2.89
534,Shadowlands,5,3.61
535,Short Cuts,0,3.27
536,"Simple Twist of Fate, A",0,3.33
537,Sirens,0,3.17
538,Six Degrees of Separation,0,3.58
539,Sleepless in Seattle,10,3.47
540,Sliver,4,2.67
541,Blade Runner,12,4.1
542,Son in Law,10,2.79
543,So I Married an Axe Murderer,21,3.32
544,Striking Distance,19,2.44
546,Super Mario Bros.,11,2.0
547,Surviving the Game,6,3.25
548,Terminal Velocity,12,2.75
549,Thirty-Two Short Films About Glenn Gould,0,4.5
550,Threesome,21,3.4
551,"Nightmare Before Christmas, The",2,3.55
552,"Three Musketeers, The",6,3.29
25946,"Three Musketeers, The",14,3.29
31923,"Three Musketeers, The",6,3.29
90403,"Three Musketeers, The",6,3.29
553,Tombstone,14,3.82
555,True Romance,8,3.8
556,"War Room, The",3,3.33
558,"Pagemaster, The",11,2.94
562,Welcome to the Dollhouse,7,3.54
563,Germinal,5,4.0
564,Chasers,1,1.5
567,Kika,7,2.0
568,Bhaji on the Beach,7,3.5
569,Little Big League,7,2.67
573,"Ciao, Professore! (Io speriamo che me la cavo)",0,3.5
574,Spanking the Monkey,7,3.25
575,"Little Rascals, The",1,2.66
577,Andre,0,2.12
579,"Escort, The (Scorta, La)",8,3.0
580,Princess Caraboo,0,2.8
581,"Celluloid Closet, The",3,4.0
583,Dear Diary (Caro Diario),7,4.0
585,"Brady Bunch Movie, The",1,2.74
586,Home Alone,1,3.0
587,Ghost,10,3.43
588,Aladdin,11,3.79
589,Terminator 2: Judgment Day,18,3.97
590,Dances with Wolves,0,3.84
592,Batman,8,3.42
26152,Batman,6,3.42
593,"Silence of the Lambs, The",15,4.16
594,Snow White and the Seven Dwarfs,2,3.62
595,Beauty and the Beast,2,3.77
168366,Beauty and the Beast,5,3.77
596,Pinocchio,2,3.45
5990,Pinocchio,2,3.45
597,Pretty Woman,21,3.49
599,"Wild Bunch, The",3,3.82
600,Love and a .45,19,4.0
602,"Great Day in Harlem, A",3,4.0
605,One Fine Day,5,3.0
606,Candyman: Farewell to the Flesh,17,3.0
608,Fargo,16,4.12
609,Homeward Bound II: Lost in San Francisco,11,3.57
610,Heavy Metal,18,3.55
611,Hellraiser: Bloodline,18,2.42
612,"Pallbearer, The",1,2.5
613,Jane Eyre,5,3.36
6983,Jane Eyre,5,3.36
7190,Jane Eyre,0,3.36
85438,Jane Eyre,5,3.36
615,Bread and Chocolate (Pane e cioccolata),7,3.0
616,"Aristocats, The",2,3.41
617,"Flower of My Secret, The (La flor de mi secreto)",7,2.83
618,Two Much,21,3.0
619,Ed,1,2.6
626,"Thin Line Between Love and Hate, A",1,5.0
627,"Last Supper, The",13,3.33
628,Primal Fear,16,3.64
631,All Dogs Go to Heaven 2,11,3.18
632,Land and Freedom (Tierra y libertad),0,4.0
633,Denise Calls Up,1,5.0
634,Theodore Rex,1,2.25
635,"Family Thing, A",7,3.0
636,Frisk,0,3.0
637,Sgt. Bilko,1,3.05
638,Jack and Sarah,5,3.0
639,Girl 6,7,3.0
640,Diabolique,13,2.68
645,Nelly & Monsieur Arnaud,0,3.5
647,Courage Under Fire,19,3.33
648,Mission: Impossible,12,3.54
649,Cold Fever (Á köldum klaka),7,3.0
650,Moll Flanders,0,3.0
653,Dragonheart,6,3.09
656,Eddie,1,3.0
661,James and the Giant Peach,11,3.45
662,Fear,4,3.29
663,Kids in the Hall: Brain Candy,1,3.29
665,Underground,7,4.33
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),14,2.81
668,Song of the Little Road (Pather Panchali),0,4.25
670,"World of Apu, The (Apur Sansar)",0,4.75
671,Mystery Science Theater 3000: The Movie,9,3.49
673,Space Jam,11,2.71
674,Barbarella,9,3.17
678,Some Folks Call It a Sling Blade,13,3.83
679,"Run of the Country, The",0,4.0
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution)",13,4.12
685,It's My Party,0,4.0
688,Operation Dumbo Drop,6,2.33
691,Mrs. Winterbourne,21,3.33
692,Solo,12,2.0
694,"Substitute, The",19,2.95
695,True Crime,4,3.17
2561,True Crime,8,3.17
697,Feeling Minnesota,5,2.7
698,Delta of Venus,0,1.0
700,Angus,1,3.21
703,Boys,0,2.0
704,"Quest, The",6,2.57
706,Sunset Park,0,3.0
707,Mulholland Falls,16,2.88
708,"Truth About Cats & Dogs, The",21,3.39
709,Oliver & Company,11,3.09
710,Celtic Pride,1,2.56
711,Flipper,11,3.05
714,Dead Man,0,3.97
715,"Horseman on the Roof, The (Hussard sur le toit, Le)",5,3.67
718,"Visitors, The (Visiteurs, Les)",9,4.12
719,Multiplicity,1,2.84
720,Wallace & Gromit: The Best of Aardman Animation,11,4.09
722,"Haunted World of Edward D. Wood Jr., The",3,4.0
724,"Craft, The",13,3.03
725,"Great White Hype, The",1,2.5
726,Last Dance,0,3.0
728,Cold Comfort Farm,1,3.5
731,Heaven's Prisoners,8,3.33
733,"Rock, The",6,3.64
735,Cemetery Man (Dellamorte Dellamore),17,3.93
736,Twister,6,3.31
7781,Twister,1,3.31
737,Barb Wire,18,2.65
741,Ghost in the Shell (Kôkaku kidôtai),9,4.15
742,Thinner,15,2.82
743,Spy Hard,1,2.52
745,Wallace & Gromit: A Close Shave,2,3.9
747,"Stupids, The",1,3.33
748,"Arrival, The",12,3.11
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1,4.27
757,Ashes of Time (Dung che sai duk),0,4.0
759,Maya Lin: A Strong Clear Vision,3,3.5
760,Stalingrad,0,3.83
116529,Stalingrad,14,3.83
761,"Phantom, The",6,2.79
762,Striptease,20,2.41
764,Heavy,5,3.5
765,Jack,7,3.16
766,I Shot Andy Warhol,0,3.5
773,Touki Bouki,0,3.5
775,Spirits of the Dead,17,3.0
778,Trainspotting,20,4.04
779,'Til There Was You,5,4.0
780,Independence Day (a.k.a. ID4),12,3.45
781,Stealing Beauty,0,3.5
782,"Fan, The",13,3.0
783,"Hunchback of Notre Dame, The",5,3.33
7079,"Hunchback of Notre Dame, The",0,3.33
25746,"Hunchback of Notre Dame, The",0,3.33
784,"Cable Guy, The",1,2.81
785,Kingpin,1,3.37
786,Eraser,14,3.11
788,"Nutty Professor, The",21,2.69
2136,"Nutty Professor, The",9,2.69
790,"Unforgettable Summer, An (Un été inoubliable)",0,2.0
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The",3,4.0
795,Somebody to Love,0,3.5
798,Daylight,14,2.71
799,"Frighteners, The",15,3.46
800,Lone Star,0,4.16
801,Harriet the Spy,1,3.14
802,Phenomenon,5,3.34
803,Walking and Talking,10,4.0
804,She's the One,21,3.25
805,"Time to Kill, A",13,3.66
806,American Buffalo,16,1.5
808,Alaska,11,3.5
809,Fled,6,2.33
810,Kazaam,2,2.25
813,Larger Than Life,1,2.8
818,"Very Brady Sequel, A",1,3.25
823,"Collector, The (La collectionneuse)",0,3.5
824,Kaspar Hauser,0,4.0
828,"Adventures of Pinocchio, The",11,3.33
829,Joe's Apartment,1,2.67
830,"First Wives Club, The",1,3.07
832,Ransom,8,3.34
833,High School High,1,2.0
835,Foxfire,0,3.67
836,Chain Reaction,6,2.88
837,Matilda,2,3.27
838,Emma,10,3.82
26958,Emma,5,3.82
84847,Emma,10,3.82
839,"Crow: City of Angels, The",12,2.83
840,House Arrest,1,3.38
841,"Eyes Without a Face (Yeux sans visage, Les)",17,3.0
842,Tales from the Crypt Presents: Bordello of Blood,1,2.54
848,"Spitfire Grill, The",0,3.29
849,Escape from L.A.,12,2.92
851,Basquiat,0,2.83
852,Tin Cup,10,3.17
858,"Godfather, The",16,4.29
861,Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha),8,3.83
866,Bound,16,4.0
867,Carpool,20,1.75
869,Kansas City,16,3.67
870,Gone Fishin',1,1.0
875,Nothing to Lose,19,3.4
7048,Nothing to Lose,19,3.4
876,Supercop 2 (Project S) (Chao ji ji hua),8,5.0
879,"Relic, The",15,3.0
880,"Island of Dr. Moreau, The",4,2.74
881,First Kid,1,2.1
882,"Trigger Effect, The",13,2.0
885,Bogus,0,2.5
886,Bulletproof,19,2.67
888,Land Before Time III: The Time of the Great Giving,11,2.17
889,1-900 (06),5,4.0
891,Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers),15,3.8
892,Twelfth Night,10,3.54
893,Mother Night,0,3.67
896,Wild Reeds (Les roseaux sauvages),0,2.5
897,For Whom the Bell Tolls,5,3.75
898,"Philadelphia Story, The",10,4.31
899,Singin' in the Rain,21,4.07
900,"American in Paris, An",5,3.71
901,Funny Face,1,3.0
902,Breakfast at Tiffany's,5,3.85
903,Vertigo,13,4.03
904,Rear Window,4,4.26
905,It Happened One Night,21,4.32
906,Gaslight,13,4.14
907,"Gay Divorcee, The",21,3.5
908,North by Northwest,6,4.18
909,"Apartment, The",10,3.96
910,Some Like It Hot,20,4.01
911,Charade,20,3.81
912,Casablanca,5,4.24
913,"Maltese Falcon, The",3,4.17
914,My Fair Lady,10,4.04
916,Roman Holiday,10,4.06
917,"Little Princess, The",0,3.5
918,Meet Me in St. Louis,3,4.1
919,"Wizard of Oz, The",11,3.88
920,Gone with the Wind,5,3.64
921,My Favorite Year,1,3.39
922,Sunset Blvd. (a.k.a. Sunset Boulevard),5,4.33
923,Citizen Kane,0,4.04
924,2001: A Space Odyssey,9,3.89
926,All About Eve,0,4.23
927,"Women, The",1,4.0
928,Rebecca,13,4.17
929,Foreign Correspondent,13,3.5
930,Notorious,4,4.19
65810,Notorious,0,4.19
931,Spellbound,4,3.93
6331,Spellbound,3,3.93
149508,Spellbound,21,3.93
932,"Affair to Remember, An",5,3.94
933,To Catch a Thief,8,4.22
934,Father of the Bride,1,3.38
6944,Father of the Bride,1,3.38
935,"Band Wagon, The",1,3.83
936,Ninotchka,21,4.0
937,Love in the Afternoon,21,3.5
938,Gigi,3,3.38
89939,Gigi,1,3.38
940,"Adventures of Robin Hood, The",6,4.0
941,"Mark of Zorro, The",3,3.75
942,Laura,20,4.33
943,"Ghost and Mrs. Muir, The",5,3.93
944,Lost Horizon,0,4.0
945,Top Hat,21,4.07
946,To Be or Not to Be,7,2.5
947,My Man Godfrey,21,4.0
3096,My Man Godfrey,1,4.0
948,Giant,5,3.92
949,East of Eden,0,3.92
950,"Thin Man, The",20,3.86
951,His Girl Friday,21,4.39
952,Around the World in 80 Days,1,3.4
8526,Around the World in 80 Days,11,3.4
953,It's a Wonderful Life,5,4.03
954,Mr. Smith Goes to Washington,0,4.08
